Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1965-27,SCM - Textiles Machinery,silk winding frame,Swift or winding frame from Glemsford Silk Mill.,silk winding frame: Swift or winding frame from Glemsford Silk Mill.,Unknown source,,,wood; cast iron,,Swift or winding frame from Glemsford Silk Mill.
1965-137,SCM - Textiles Machinery,chain stitch sewing machine,"'Ideal' chain stitch sewing machine with lid, using the looper principle first invented in 1859, and made c. 1911 by Salter and Co.","chain stitch sewing machine: 'Ideal' chain stitch sewing machine with lid, using the looper principle first invented in 1859, and made c. 1911 by Salter and Co.","Salter, L.; Salter and Company","London, Greater London, England, United Kingdom",,wood; sheet steel; chrome; cast steel; machined steel,overall: 170 x 130 x 280 mm,"'Ideal' chain stitch sewing machine with lid, using the loop"
1965-164,SCM - Textiles Machinery,lock stitch sewing machine,"Wheeler and Wilson lock stitch sewing machine with stand and treadle, 1873.","lock stitch sewing machine: Wheeler and Wilson lock stitch sewing machine with stand and treadle, 1873.",Wheeler and Wilson Manufacturing Company,"Bridgeport, Fairfield county, Connecticut, United States",1873,cast iron; nickel; steel; veneered wood,,Wheeler and Wilson lock stitch sewing machine with stand and
1965-238,SCM - Textiles Machinery,lock stitch sewing machine,"Empress ""I Move with the Times"" lockstitch sewing machine, 1880-1890.","lock stitch sewing machine: Empress ""I Move with the Times"" lockstitch sewing machine, 1880-1890.",Unknown maker,"Brunswick, Braunschweig, Lower Saxony, Germany",1880-1890,cast iron; steel,overall: 280 x 380 x 225 mm,"Empress ""I Move with the Times"" lockstitch sewing machine, 1"
1965-301,SCM - Textiles Machinery,sewing machine,"Glove sewing machine, Allbrook and Hashfield","sewing machine: Glove sewing machine, Allbrook and Hashfield",Allbrook and Hashfield (maker),,,,,glove sewing machine
1965-316,SCM - Textiles Machinery,,Opening machine for horse hair and flock,: Opening machine for horse hair and flock,,,,,,Opening machine for horse hair and flock
1966-86,SCM - Textiles Machinery,chain stitch sewing machine,"Singer double-thread chainstitch glove sewing machine, c. 1917.","chain stitch sewing machine: Singer double-thread chainstitch glove sewing machine, c. 1917.",Singer Manufacturing Company,"Kilbowie, Clydebank, West Dunbartonshire, Scotland, United Kingdom",1915-1920,cast iron; steel,overall: 270 x 310 x 160 mm,Singer double-thread chainstitch glove sewing machine
1966-87,SCM - Textiles Machinery,lock stitch sewing machine,Four needle lock stitch sewing machine,lock stitch sewing machine: Four needle lock stitch sewing machine,Unknown source,,,,overall: 330 x 440 x 190 mm,Four needle lock stitch sewing machine
1966-88,SCM - Textiles Machinery,blanket whipping sewing machine,Gibson 'Z' type industrial blanket whipping sewing machine.,blanket whipping sewing machine: Gibson 'Z' type industrial blanket whipping sewing machine.,Gibson Brothers & Company,"Hebden Bridge, Calderdale, West Yorkshire, England, United Kingdom",1850-1970,cast iron; hardened steel,overall: 315 x 365 x 225 mm,Gibson 'Z' type industrial blanket whipping sewing machine.
1966-89,SCM - Textiles Machinery,lock stitch sewing machine,"Wheeler and Wilson lock stitch treadle powered button hole sewing machine head, 1862.","lock stitch sewing machine: Wheeler and Wilson lock stitch treadle powered button hole sewing machine head, 1862.",Wheeler and Wilson Manufacturing Company,"Bridgeport, Fairfield county, Connecticut, United States",1862,wood; cast iron; wrought iron; steel; nickel,overall: 920 x 670 x 500 mm,Wheeler and Wilson lock stitch treadle powered button hole s
1966-90,SCM - Textiles Machinery,lock stitch button hole sewing machine,"Industrial lockstitch button hole sewing machine by The Union Button Sewing Machine Co., model No. D.12; but probably made by Wheeler and Wilson Manufacturing Co.","lock stitch button hole sewing machine: Industrial lockstitch button hole sewing machine by The Union Button Sewing Machine Co., model No. D.12; but probably made by Wheeler and Wilson Manufacturing Co.",Union Button Sewing Machine Company,"Boston, Suffolk county, Massachusetts, United States",,cast iron; steel,overall: 340 x 540 x 210 mm,Industrial lockstitch button hole sewing machine by The Unio
1966-353,SCM - Textiles Machinery,,One circular hose knitting machine with ribbing attachment.   Around 1900.,: One circular hose knitting machine with ribbing attachment.   Around 1900.,,,,,,One circular hose knitting machine
1967-142/1,SCM - Textiles Machinery,Yarn preperation machine - slubbing,"Machine, loose parts removed","Yarn preperation machine - slubbing: Machine, loose parts removed",,,,,,"Machine, loose parts removed"
1967-142/2,SCM - Textiles Machinery,Yarn preparation machine - slubbing,Components removed from main object being 28 Spinners,Yarn preparation machine - slubbing: Components removed from main object being 28 Spinners,,,,,,Components removed from main object being 28 Spinn
1967-142/3,SCM - Textiles Machinery,components,"Components of main carding engine - weight hooks. Roller clamping hooks, pressed hooks, 4 chain rollers","components: Components of main carding engine - weight hooks. Roller clamping hooks, pressed hooks, 4 chain rollers",,,,,,Components of main carding engine - weight hooks. 
1967-142/4,SCM - Textiles Machinery,weights,"Weights - fourteen 22 lb weights, fourteen 18 lb weights, three 76 lb weights, one 40 lb weight approximately","weights: Weights - fourteen 22 lb weights, fourteen 18 lb weights, three 76 lb weights, one 40 lb weight approximately",,,,,,"Weights - fourteen 22 lb weights, fourteen 18 lb w"
1967-142/5,SCM - Textiles Machinery,,"Ten dimpled support feet, 2 detached small roller weight pads, 2 bobbins of slivers, one wooden bobbin of spun yarn",": Ten dimpled support feet, 2 detached small roller weight pads, 2 bobbins of slivers, one wooden bobbin of spun yarn",,,,,,"Ten dimpled support feet, 2 detached small roller "
1967-142/6,SCM - Textiles Machinery,,"20 tall vertical silver cans, some partially filled with slivers. 8 short vertical empty cans",": 20 tall vertical silver cans, some partially filled with slivers. 8 short vertical empty cans",,,,,,"20 tall vertical silver cans, 8 short cans"
1967-142/7,SCM - Textiles Machinery,,Two drive belt guards & two small machine guards,: Two drive belt guards & two small machine guards,,,,,,Two drive belt guards & two small machine guards
1968-601,SCM - Textiles Machinery,Sewing machine,"Gimson outsole stitcher, 1903","Sewing machine: Gimson outsole stitcher, 1903",,,1903,,,"Gimson outsole stitcher, 1903"
1968-655/1,SCM - Textiles Machinery,sewing machines,"Main part of Viking Husqvarna 8010 sewing machine, partially sectioned 1968, c.1960s.","sewing machines: Main part of Viking Husqvarna 8010 sewing machine, partially sectioned 1968, c.1960s.",Viking-Husqvarna Ltd.,Huskvarna; Jonkoping; Sweden,1960-1968,cast steel; steel; chromium; plastic,,"Viking Husqvarna 8010 sewing machine, 1960s."
1968-655/2,SCM - Textiles Machinery,sewing machines,"Small part from Viking Husqvarna 8010 sewing machine, c.1960s.","sewing machines: Small part from Viking Husqvarna 8010 sewing machine, c.1960s.",Viking-Husqvarna Ltd.,"Huskvarna, Jˆnkˆping, Sweden",1960-1968,cast steel; steel; chromium; plastic,,semi auto matic sewing machine
1968-690,SCM - Textiles Machinery,weaver's measuring scale,"Weaver's measuring scale by Thomas Blunt, London.","weaver's measuring scale: Weaver's measuring scale by Thomas Blunt, London.","Blunt, Thomas","Cornhill, City of London, London, Greater London, England, United Kingdom",,wood; brass,overall (folded): 155 x 17 x 8 mm,"Weaver's measuring scale by Thomas Blunt, London."
1968-742,SCM - Textiles Machinery,Embroidery sewing machine,Lintz and Eckhardt embroidery machine,Embroidery sewing machine: Lintz and Eckhardt embroidery machine,Lintz and Eckhardt (maker),,,,,Lintz and Eckhardt embroidery machine
1968-748,SCM - Textiles Machinery,opening machine,Garnett opening machine invented in 1859.,opening machine: Garnett opening machine invented in 1859.,P. and C. Garnett Ltd.,,after 1859,steel; special garnet wire,overall (mounted): 1140 x 1430 x 1750 mm,Garnett opening machine
1969-442,SCM - Textiles Machinery,Rope making machine,"Rope-making machinery comprising fixed jack, moving jack, carriage, and winder","Rope making machine: Rope-making machinery comprising fixed jack, moving jack, carriage, and winder",,,,,,"Rope-making machinery comprising fixed jack, movin"
1969-442/1,SCM - Textiles Machinery,jack,Fixed jack for use in rope making.,jack: Fixed jack for use in rope making.,,,,,"overall: 778 mm x 2420 mm x 790 mm,",Fixed Jack for Rope Making Machinery
1969-442/2,SCM - Textiles Machinery,jack,Moving jack for use in rope making.,jack: Moving jack for use in rope making.,,,,,"overall: 1010 mm x 2378 mm x 1823 mm,",Moving Jack for Rope Making Machinery
1969-442/3,SCM - Textiles Machinery,carriage,Carriage for use in rope making.,carriage: Carriage for use in rope making.,,,,,"overall: 1086 mm x 2545 mm x 1823 mm,",Carriage for Rope Making Machinery
1969-442/4,SCM - Textiles Machinery,Winding machine,Winder for use in rope making.,Winding machine: Winder for use in rope making.,,,,,"overall: 633 mm x 2670 mm x 1927 mm,",Winder for Rope Making Machinery
1969-508,SCM - Textiles Machinery,,Dexter hemmer and stitcher,: Dexter hemmer and stitcher,,,,,,Dexter hemmer and stitcher
1969-533,SCM - Textiles Machinery,weaving loom,Twelve heddles of various sizes and two weights and eyes from a silk ribbon weaving loom,weaving loom: Twelve heddles of various sizes and two weights and eyes from a silk ribbon weaving loom,,,,,,Twelve heddles of various sizes and two weights an
1969-534,SCM - Textiles Machinery,weaving loom,"De Voge Jacquard loom mechanism and cards for weaving labels, with two reels of silk thread and two sample labels","weaving loom: De Voge Jacquard loom mechanism and cards for weaving labels, with two reels of silk thread and two sample labels",,,,,,De Voge Jacquard loom mechanism and cards for weav
1970-1,SCM - Textiles Machinery,net maker,"Demonstration models of a bobbin-net machine, (an original model as designed by Samuel Blackmore in 1880 and one reconstructed by Museum Workshops)","net maker: Demonstration models of a bobbin-net machine, (an original model as designed by Samuel Blackmore in 1880 and one reconstructed by Museum Workshops)","Blackmore, Samuel","Chard, Somerset, England, United Kingdom",c. 1880,wood,: 32.2835 x 14.9606 x 18.1102 in.; 820 x 380 x 460 mm,"Demonstration models of a bobbin-net machine, (an "
01/01/1970,SCM - Textiles Machinery,lace maker,"Bobbin-net demonstration machine, constructed by the Science Museum Workshops, which is a copy of the original machine made by Samuel Blackmore in late 1880. This uses some parts from the original machine.","lace maker: Bobbin-net demonstration machine, constructed by the Science Museum Workshops, which is a copy of the original machine made by Samuel Blackmore in late 1880. This uses some parts from the original machine.",Science Museum,,c. 1970,wood,: 32.2835 x 14.9606 x 14.1732 in.; 820 x 380 x 360 mm,"Bobbin-net demonstration machine, constructed by t"
02/01/1970,SCM - Textiles Machinery,lace maker,The original bobbin-net machine designed and constructed by Samuel Blackmore in 1880 but without some fittings (used on object /1).,lace maker: The original bobbin-net machine designed and constructed by Samuel Blackmore in 1880 but without some fittings (used on object /1).,"Blackmore, Samuel","Chard, Somerset, England, United Kingdom",1880-1890,wood,,The original bobbin-net machine designed and const
04/01/1970,SCM - Textiles Machinery,lace,Four samples of lace presumably made on the original bobbin-net machine.,lace: Four samples of lace presumably made on the original bobbin-net machine.,,,,,,Four samples of lace presumably made on the origin
1970-46,SCM - Textiles Machinery,Industrial chain stitch sewing machine,"Industrial double thread chain stitch sewing machine, model no. 552, made by Singer, USA, c. 1970.","Industrial chain stitch sewing machine: Industrial double thread chain stitch sewing machine, model no. 552, made by Singer, USA, c. 1970.",Singer Company,United States,1970,cast iron; steel,overall: 460 x 510 x 190 mm,"Industrial double thread chain stitch sewing machine, model "
1970-46/1,SCM - Textiles Machinery,,The double thread chain stitch machine.,: The double thread chain stitch machine.,Singer Manufacturing Co.,,c. 1970,,,The double thread chain stitch machine.
1970-46/2,SCM - Textiles Machinery,,The cop stand.,: The cop stand.,Singer Manufacturing Company,,c. 1970,,Object: 460 x 51 x 19 cm,The cop stand.
1970-46/3,SCM - Textiles Machinery,,Tee bar.,: Tee bar.,Simanco (wholey own subsidary co of Singer U.S.A.),,c. 1970,,,Tee bar.
1970-46/4,SCM - Textiles Machinery,,"Two cops, Nielson 10,000 yds. red and green cotton.",": Two cops, Nielson 10,000 yds. red and green cotton.",Nielson,,c. 1970,,,"Two cops, Nielson 10,000 yds. red and green cotton"
1970-335,SCM - Textiles Machinery,draw loom,"Model of Dangon's Draw Loom of c.1610, and a woven sample.","draw loom: Model of Dangon's Draw Loom of c.1610, and a woven sample.",Piau et Billard,"Paris, Ville de Paris, Œle-de-France, France",1610,wood,overall: .96 x .63 x 1 m,"Model of Dangon's Draw Loom of c.1610, and a woven"
1970-335/1,SCM - Textiles Machinery,,Dangon's loom,: Dangon's loom,,,,,,Dangon's loom
1970-335/2,SCM - Textiles Machinery,samples,Sample of material woven on loom.,samples: Sample of material woven on loom.,,,,,,Sample of material woven on loom.
1970-416,SCM - Textiles Machinery,chain stitch sewing machine,Tabitha chain stitch sewing machine.,chain stitch sewing machine: Tabitha chain stitch sewing machine.,Tabitha,Germany,Unknown date,brass,overall: 110 x 110 x 75 mm,Tabitha chain stitch sewing machine.
1970-420,SCM - Textiles Machinery,,Wrap reel by Goodbrand and Co.,: Wrap reel by Goodbrand and Co.,Goodbrand and Company Limited (maker),,,,,Wrap reel by Goodbrand and Co.
1970-477,SCM - Textiles Machinery,hand loom,"Hand loom, c. 1898; formerly the property of Katie Grasett, founder of the London School of Weaving.","hand loom: Hand loom, c. 1898; formerly the property of Katie Grasett, founder of the London School of Weaving.",London School of Weaving,"Kensington, Kensington and Chelsea, London, Greater London, England, United Kingdom",1898,wood,overall: 1.58 x 1.2 x 1.1 m,"Hand loom, c. 1898; formerly the property of Katie"
1970-477/1,SCM - Textiles Machinery,,"Hand loom,",": Hand loom,",,,1898,,,"Hand loom,"
1970-477/2,SCM - Textiles Machinery,,Three shuttles.,: Three shuttles.,,,1898,,,Three shuttles.
1970-477/3,SCM - Textiles Machinery,,Bobbin holder with 6 bobbins part filled with thread.,: Bobbin holder with 6 bobbins part filled with thread.,,,1898,,,Bobbin holder with 6 bobbins part filled with thre
1970-477/4,SCM - Textiles Machinery,,Wooden loom part.,: Wooden loom part.,,,1898,,,Wooden loom part.
1971-128,SCM - Textiles Machinery,needle threader,"Needle threader in small case, Surgey's patent of 1855.","needle threader: Needle threader in small case, Surgey's patent of 1855.",Unknown source,,,steel; wood,overall: 7 x 56 x 10 mm,"Needle threader in small case, Surgey's patent of "
1971-178,SCM - Textiles Machinery,,Working demonstration model of Arkwright's original roller spinning machine of 1769.,: Working demonstration model of Arkwright's original roller spinning machine of 1769.,Visual Planning Systems,,,wood; steel,overall: 870 x 750 x 380 mm,Working demonstration model of Arkwright's origina
1971-488,SCM - Textiles Machinery,,Textile surface printing roller,: Textile surface printing roller,,,,,,Textile surface printing roller
1972-155,SCM - Textiles Machinery,flat bed knitting machine,"Knitmaster flat bed knitting machine, model 321, in wooden box with different camboxes, punches and other accessories, c. 1972.","flat bed knitting machine: Knitmaster flat bed knitting machine, model 321, in wooden box with different camboxes, punches and other accessories, c. 1972.",Knitmaster Ltd.,"Battersea, Wandsworth, London, Greater London, England, United Kingdom",,steel; nylon,overall: 120 x 1120 x 210 mm,"Knitmaster flat bed knitting machine, model 321, i"
1972-155/1,SCM - Textiles Machinery,,Bed of flat bed knitting machine in wooden box,: Bed of flat bed knitting machine in wooden box,Knitmaster,,,,,Bed of flat bed knitting machine in wooden box
1972-155/2,SCM - Textiles Machinery,,"Machine knitting carriage or cam box, and a seperate carrier.",": Machine knitting carriage or cam box, and a seperate carrier.",,,,,,"Machine knitting carriage or cam box, and a sepera"
1972-155/3,SCM - Textiles Machinery,,An additional cam box with carrier attached.,: An additional cam box with carrier attached.,,,,,,An additional cam box with carrier attached.
1972-155/4,SCM - Textiles Machinery,,Machine wool carrier /auto tensioner.,: Machine wool carrier /auto tensioner.,,,,,,Machine wool carrier /auto tensioner.
1972-155/5,SCM - Textiles Machinery,,Wool guide.,: Wool guide.,,,,,,Wool guide.
1972-155/6,SCM - Textiles Machinery,,Plastic box of accessories.,: Plastic box of accessories.,,,,,,Plastic box of accessories.
1972-155/7,SCM - Textiles Machinery,,Two latch needle tools.,: Two latch needle tools.,,,,,,latch needle tools.
1972-155/8,SCM - Textiles Machinery,,A 'Handy Punch' for punching holes in cards complete with cardboard box and a set of instructions.,: A 'Handy Punch' for punching holes in cards complete with cardboard box and a set of instructions.,,,,,,A 'Handy Punch' for punching holes in cards comple
1972-155/9,SCM - Textiles Machinery,,machine card feeder and reader.,: machine card feeder and reader.,,,,,,Machine card feader and reader.
1972-155/10,SCM - Textiles Machinery,,Sets of chlorinated vinyl punch cards.,: Sets of chlorinated vinyl punch cards.,,,,,,Sets of chlorinated vinyl punch cards.
1972-155/11,SCM - Textiles Machinery,,"An example of Knitting, being a stereotype cat design in red and yellow wools.",": An example of Knitting, being a stereotype cat design in red and yellow wools.",,,,,,"An example of Knitting, being a stereotype cat des"
1972-155/12,SCM - Textiles Machinery,,An example of machine knitted multi-colour work.,: An example of machine knitted multi-colour work.,,,,,overall: 650 mm,An example of machine knitted multi-colour work.
1972-233,SCM - Textiles Machinery,flat bed knitting machine,"Harrison twin flat-bed knitting machine with accessories, a woolwinder and wool stand.","flat bed knitting machine: Harrison twin flat-bed knitting machine with accessories, a woolwinder and wool stand.",Harrison  Patent Knitting Machine Company,"Manchester, Manchester urban district, Greater Manchester, England, United Kingdom",,cast iron; mild steel,overall: 550 x 520 x 550 mm,Harrison twin flat-bed knitting machine with accessories
1972-234,SCM - Textiles Machinery,spinning machine,"Working replica of Arkwright's roller spinning frame (1769), made by Visual Planning Systems, 1972.","spinning machine: Working replica of Arkwright's roller spinning frame (1769), made by Visual Planning Systems, 1972.",Visual Planning Systems,,1972,wood; steel; rubber,overall: 870 x 750 x 380 mm,Working replica of Arkwright's roller spinning fra
1972-269,SCM - Textiles Machinery,,Victorian circular knitting machine made by W & J Foster.,: Victorian circular knitting machine made by W & J Foster.,,,,,,Victorian circular knitting machine made by W & J 
1972-436,SCM - Textiles Machinery,semi automatic sewing machine,"Singer 760 electric lock stitch sewing machine, convertible to free arm type, 1972","semi automatic sewing machine: Singer 760 electric lock stitch sewing machine, convertible to free arm type, 1972",Singer Manufacturing Company Ltd.,Germany,1960,cast iron; plastic; chrome; steel,overall: 360 x 180 x 555 mm,"Singer 760 electric lock stitch sewing machine, convertible "
1973-153,SCM - Textiles Machinery,lock stitch sewing machine,"Oscillating ring, lock stitch sewing machine, c. 1878.","lock stitch sewing machine: Oscillating ring, lock stitch sewing machine, c. 1878.",Diehl Manufacturing Company Ltd.,,c. 1878,cast iron; sheet steel,overall: 265 x 265 x 126 mm,"Oscillating ring, lock stitch sewing machine, c. 1878."
1973-451,SCM - Textiles Machinery,darning tool,"""Speedweve"" patent darner, c.1950","darning tool: ""Speedweve"" patent darner, c.1950","Chesstok, A.","Manchester, Manchester urban district, Greater Manchester, England, United Kingdom",,wood; steel,overall: 20 x 100 x 80 mm,"""Speedweve"" patent darner, c.1950"
1974-216,SCM - Textiles Machinery,lock stitch sewing machine,"Winselmann Titan, treadle-powered vibrating shuttle lockstitch sewing machine, treadle-driven with table and drawers and accessories, 1920-1925.","lock stitch sewing machine: Winselmann Titan, treadle-powered vibrating shuttle lockstitch sewing machine, treadle-driven with table and drawers and accessories, 1920-1925.","Winselmann, Gustav GMB (maker)","Altenburg, Gera, Thuringia, Germany",1920-1925,cast iron; veneered wood; steel,overall: 755 x 910 x 460 mm,Treadle-powered vibrating shuttle lockstitch sewing machine
1974-322,SCM - Textiles Machinery,lock stitch sewing machine,"Collier lock stitch sewing machine, c. 1874","lock stitch sewing machine: Collier lock stitch sewing machine, c. 1874",J. Collier and Sons,"Peckham, Southwark, Southwark, London, Greater London, England, United Kingdom",1874,polished wood; cast iron; steel,overall: 240 x 180 x 340 mm,"Collier lock stitch sewing machine, c. 1874"
1974-520,SCM - Textiles Machinery,printing block,Silk printing block mounted on a wooden stand.,printing block: Silk printing block mounted on a wooden stand.,Unknown source,,,wood; brass,overall: 160 x 260 x 120 mm,Silk printing block mounted on a wooden stand.
1975-225,SCM - Textiles Machinery,spinning wheel,"Spinning wheel, French","spinning wheel: Spinning wheel, French",Unknown maker,France,,wood,overall: 750 x 880 x 375 mm,"Spinning wheel, French"
1975-535,SCM - Textiles Machinery,chain stitch sewing machine,"Essex miniature chain stitch sewing machine, 1945-1955.","chain stitch sewing machine: Essex miniature chain stitch sewing machine, 1945-1955.",Essex Engineering Works,"Wanstead, Redbridge, Greater London, England, United Kingdom",1945-1955,wood; steel; chrome; cast steel,overall: 220 x 160 x 250 mm,"Essex miniature chain stitch sewing machine, 1945-1955."
1975-536,SCM - Textiles Machinery,winding reel,Wool winding reel.,winding reel: Wool winding reel.,Unknown source,,,wood; string,,Wool winding reel.
1976-402,SCM - Textiles Machinery,spinning wheel,"Spinning wheel, Scottish, c. 1800","spinning wheel: Spinning wheel, Scottish, c. 1800",Unknown source,,1800,mahogany; wood,overall: 1.2 x .9 x .56 m,"Spinning wheel, Scottish, c. 1800"
1976-403,SCM - Textiles Machinery,,"Spinning wheel, English 17th or 18th century",": Spinning wheel, English 17th or 18th century",,,,,,"Spinning wheel, English 17th or 18th century"
1976-404,SCM - Textiles Machinery,boudoir spinning wheel,"Spinning wheel Italian, late 17th century.","boudoir spinning wheel: Spinning wheel Italian, late 17th century.",Unknown maker,Italy,1651-1700,mahogany; lead; hardwood; fruitwood,Without distaff: 1100 x 470 x 360 mm,"Spinning wheel Italian, late 17th century."
1976-405,SCM - Textiles Machinery,spinning wheel,"Spinning wheel, Lapland, 1879 with carved distaff","spinning wheel: Spinning wheel, Lapland, 1879 with carved distaff",Unknown maker,Lapland,1879,pinewood; steel,overall: 1.42 x .56 x .96 m,"Spinning wheel, Lapland, 1879 with carved distaff"
1976-406,SCM - Textiles Machinery,spinning wheel,"Spinning wheel, Scottish, by William Mark, Aberdeen, c. 1760","spinning wheel: Spinning wheel, Scottish, by William Mark, Aberdeen, c. 1760","Mark, William","Aberdeen, Scotland, United Kingdom",1760,mahogany; metal,overall: 900 x 320 x 320 x 310 mm,"Spinning wheel, Scottish, by William Mark, Aberdee"
1976-407,SCM - Textiles Machinery,treadle spinning wheel,"Spinning wheel, English, made by John Planta of Fulneck, Leeds, in mahogany and satinwood in the Sheraton style, c. 1800.","treadle spinning wheel: Spinning wheel, English, made by John Planta of Fulneck, Leeds, in mahogany and satinwood in the Sheraton style, c. 1800.","Planta, John","Fulneck, Leeds, West Yorkshire, England, United Kingdom",1798-1802,mahogany; satinwood; wood; metal; brass,overall: 960 x 480 x 360 mm,Spinning wheel
1976-408,SCM - Textiles Machinery,treadle spinning wheel,"Spinning wheel, English, probably made by John Planta in the Sheraton style, 1798-1802","treadle spinning wheel: Spinning wheel, English, probably made by John Planta in the Sheraton style, 1798-1802","Planta, John","Fulneck, Leeds, West Yorkshire, England, United Kingdom",1798-1802,mahogany; wood; heavy metal; brass,overall: 940 x 490 x 340 mm,"Spinning wheel, English, probably made by John Pla"
1976-409,SCM - Textiles Machinery,,Straw splint mill,: Straw splint mill,,,,,,Straw splint mill
1976-470,SCM - Textiles Machinery,Weaving loom - tape,"Hattersley Light - four piece tape loom, model 5C","Weaving loom - tape: Hattersley Light - four piece tape loom, model 5C",Hattersley Ltd. (maker),,,,,"Hattersley Light - four piece tape loom, model 5C"
1977-652,SCM - Textiles Machinery,rug making tool,"'Airlyne' home rugmaker, c 1950.","rug making tool: 'Airlyne' home rugmaker, c 1950.",Slater and Wheeler Company,"Abergele, Conwy, Wales, United Kingdom",,aluminium; brass,overall: 100 x 260 x 150 mm,"'Airlyne' home rugmaker, c 1950."
1977-830 Pt1,SCM - Textiles Machinery,sewing machine - equipment,"Singer Futura sewing machine, part sectioned for display, by VEB Nahmaschinenwerk Wittenberge, Wittenberge, Germany, 1976","sewing machine - equipment: Singer Futura sewing machine, part sectioned for display, by VEB Nahmaschinenwerk Wittenberge, Wittenberge, Germany, 1976",VEB Nahmaschinenwerk Wittenberge,Germany,1976,steel,overall: 320 x 190 x 440 x 190 mm,"Singer Futura sewing machine, part sectioned for display"
1977-830 Pt2,SCM - Textiles Machinery,,"Two gentleman's neck-ties made using Singer Futura sewing machine, 1976.  These ties have been produced to show the different types of decorative stitching that the sewing machine is capable of.",": Two gentleman's neck-ties made using Singer Futura sewing machine, 1976.  These ties have been produced to show the different types of decorative stitching that the sewing machine is capable of.",,,1976,,,Gentleman's neck-tie made using Singer Futura sewing machine
1979-31,SCM - Textiles Machinery,,"'Golden Fleece' wool sock knitting machine, circular, with: Hand-powered Needle cylinder assembly, containing a Needle cylinder; Two Yarn-stand top and rods; Two Needle cylinders; Two Ribber needle dials; Three Weight support bases; Six 64mm diameter cast iron weights; Ribber arm, attached to ribber dial and tappet plate; Two oak wood Bobbins; Two 1ºî G-clamps; Two Discs, each ëbuttoní shaped in cast iron, all parts by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": 'Golden Fleece' wool sock knitting machine, circular, with: Hand-powered Needle cylinder assembly, containing a Needle cylinder; Two Yarn-stand top and rods; Two Needle cylinders; Two Ribber needle dials; Three Weight support bases; Six 64mm diameter cast iron weights; Ribber arm, attached to ribber dial and tappet plate; Two oak wood Bobbins; Two 1ºî G-clamps; Two Discs, each ëbuttoní shaped in cast iron, all parts by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",,,,,,"'Golden Fleece' sock knitting machine, circular, with 22 components"
1979-31/1,SCM - Textiles Machinery,,"Hand-powered needle cylinder assembly, containing Needle cylinder: one of three, from ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Hand-powered needle cylinder assembly, containing Needle cylinder: one of three, from ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint; hickory (wood),,"Hand-powered needle cylinder assembly, from ëGolden Fleeceí knitting machine"
1979-31/2,SCM - Textiles Machinery,,"Yarn-stand top and rod, painted black, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Yarn-stand top and rod, painted black, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Yarn-stand top and rod, one of two, from ëGolden Fleeceí knitting machine"
1979-31/3,SCM - Textiles Machinery,,"Yarn-stand top and rod, painted black, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Yarn-stand top and rod, painted black, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Yarn-stand top and rod, one of two, from ëGolden Fleeceí knitting machine"
1979-31/4,SCM - Textiles Machinery,,"Needle cylinder: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Needle cylinder: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Needle cylinder: one of three, from ëGolden Fleeceí knitting machine"
1979-31/5,SCM - Textiles Machinery,,"Needle cylinder: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Needle cylinder: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Needle cylinder: one of three, from ëGolden Fleeceí knitting machine"
